iter	Passed	Remaining
0	136	136844
1	137	68615
2	137	45860
3	138	34479
4	138	27653
5	139	23101
6	139	19847
7	140	17407
8	140	15509
9	141	13991
10	141	12749
11	142	11715
12	142	10839
13	143	10090
14	143	9440
15	144	8869
16	144	8366
17	145	7920
18	145	7519
19	146	7158
20	146	6833
21	147	6537
22	147	6266
23	148	6018
24	148	5791
25	148	5580
26	149	5385
27	149	5203
28	150	5035
29	150	4878
30	151	4731
31	151	4593
32	152	4463
33	152	4341
34	153	4226
35	153	4117
36	154	4013
37	154	3916
38	155	3823
39	155	3735
40	156	3651
41	156	3572
42	157	3495
43	157	3423
44	158	3353
45	158	3286
46	158	3223
47	159	3162
48	159	3103
49	160	3047
50	160	2992
51	161	2941
52	161	2890
53	162	2842
54	162	2796
55	163	2751
56	163	2707
57	164	2666
58	164	2625
59	165	2587
60	165	2550
61	166	2513
62	166	2478
63	167	2444
64	167	2411
65	168	2379
66	168	2347
67	168	2314
68	169	2284
69	169	2256
70	170	2228
71	170	2201
72	171	2174
73	171	2149
74	172	2123
75	172	2099
76	173	2075
77	173	2052
78	174	2030
79	174	2007
80	175	1986
81	175	1965
82	176	1944
83	176	1924
84	176	1903
85	177	1884
86	177	1864
87	178	1846
88	178	1828
89	179	1811
90	179	1794
91	180	1777
92	180	1761
93	181	1745
94	181	1729
95	181	1713
96	182	1698
97	182	1684
98	183	1669
99	183	1655
100	184	1641
101	184	1625
102	185	1612
103	185	1598
104	186	1586
105	186	1573
106	186	1560
107	187	1548
108	187	1536
109	188	1524
110	188	1512
111	189	1500
112	189	1489
113	190	1478
114	190	1467
115	191	1456
116	191	1445
117	192	1435
118	192	1424
119	192	1414
120	193	1404
121	193	1395
122	194	1383
123	194	1374
124	195	1365
125	195	1355
126	195	1346
127	196	1337
128	196	1328
129	197	1320
130	197	1311
131	198	1303
132	198	1295
133	199	1286
134	199	1278
135	200	1271
136	200	1263
137	200	1255
138	201	1247
139	201	1239
140	202	1232
141	202	1225
142	203	1218
143	203	1211
144	204	1204
145	204	1197
146	205	1190
147	205	1183
148	206	1176
149	206	1170
150	206	1163
151	207	1157
152	207	1151
153	208	1145
154	208	1138
155	209	1132
156	209	1126
157	210	1120
158	210	1114
159	211	1109
160	211	1103
161	212	1097
162	212	1091
163	213	1086
164	213	1081
165	214	1075
166	214	1070
167	215	1064
168	215	1059
169	215	1054
170	216	1049
171	216	1044
172	217	1039
173	217	1034
174	218	1029
175	218	1024
176	219	1019
177	219	1014
178	220	1010
179	220	1005
180	220	999
181	221	994
182	221	990
183	222	985
184	222	981
185	223	976
186	223	972
187	224	968
188	224	963
189	225	959
190	225	955
191	226	951
192	226	947
193	226	943
194	227	939
195	227	935
196	228	930
197	228	927
198	229	923
199	229	919
200	230	915
201	230	911
202	231	907
203	231	903
204	232	900
205	232	896
206	233	892
207	233	889
208	233	885
209	234	882
210	234	878
211	235	875
212	235	871
213	236	868
214	236	865
215	237	861
216	238	858
217	238	855
218	239	852
219	239	849
220	240	846
221	240	843
222	241	840
223	241	837
224	242	833
225	242	830
226	243	827
227	243	824
228	243	821
229	244	818
230	244	815
231	245	812
232	245	809
233	246	806
234	246	803
235	247	800
236	247	797
237	248	794
238	248	791
239	249	788
240	249	785
241	249	783
242	250	780
243	250	777
244	251	774
245	251	772
246	252	769
247	252	766
248	253	764
249	253	761
250	254	758
251	254	756
252	255	753
253	255	750
254	256	748
255	256	745
256	257	743
257	257	740
258	257	737
259	258	735
260	258	732
261	259	730
262	259	727
263	260	725
264	260	723
265	261	720
266	261	718
267	262	715
268	262	713
269	263	711
270	263	708
271	263	706
272	264	704
273	264	701
274	265	699
275	265	697
276	266	695
277	266	692
278	267	690
279	267	688
280	268	686
281	268	684
282	269	681
283	269	679
284	270	677
285	270	675
286	271	673
287	271	671
288	271	669
289	272	666
290	272	664
291	273	662
292	273	660
293	274	658
294	274	656
295	275	654
296	275	652
297	276	650
298	276	648
299	277	646
300	277	644
301	278	642
302	278	640
303	278	638
304	279	636
305	279	634
306	280	632
307	280	631
308	281	629
309	281	627
310	282	625
311	282	623
312	283	621
313	283	619
314	284	617
315	284	616
316	285	614
317	285	612
318	285	610
319	286	608
320	286	606
321	287	605
322	287	603
323	288	601
324	288	599
325	289	597
326	289	596
327	290	594
328	290	592
329	291	591
330	291	589
331	292	587
332	292	585
333	293	584
334	293	582
335	293	580
336	294	579
337	294	577
338	295	576
339	295	574
340	296	572
341	296	571
342	297	569
343	297	567
344	298	566
345	298	564
346	299	563
347	299	561
348	300	559
349	300	558
350	301	556
351	301	555
352	301	553
353	302	551
354	302	550
355	303	548
356	303	547
357	304	545
358	304	544
359	305	543
360	305	541
361	306	539
362	306	538
363	307	536
364	307	535
365	308	534
366	308	532
367	309	531
368	310	530
369	310	529
370	311	527
371	311	526
372	312	524
373	312	523
374	313	521
375	313	520
376	314	519
377	314	517
378	315	516
379	315	514
380	315	513
381	316	511
382	316	510
383	317	509
384	317	507
385	318	506
386	318	504
387	319	503
388	319	502
389	320	500
390	320	499
391	321	498
392	321	496
393	322	495
394	322	494
395	323	492
396	323	491
397	323	490
398	324	488
399	324	487
400	325	486
401	325	484
402	326	483
403	326	482
404	327	480
405	327	479
406	328	478
407	328	476
408	329	475
409	329	474
410	330	472
411	330	471
412	330	470
413	331	469
414	331	467
415	332	466
416	332	465
417	333	464
418	333	462
419	334	461
420	334	460
421	335	459
422	335	457
423	336	456
424	336	455
425	337	454
426	337	453
427	338	451
428	338	450
429	339	449
430	339	448
431	340	447
432	340	445
433	341	444
434	341	443
435	341	442
436	342	441
437	342	439
438	343	438
439	343	437
440	344	436
441	344	435
442	345	434
443	345	432
444	346	431
445	346	430
446	347	429
447	347	428
448	348	427
449	348	426
450	349	424
451	349	423
452	349	422
453	350	421
454	350	420
455	351	419
456	351	418
457	352	416
458	352	415
459	353	414
460	353	413
461	354	412
462	354	411
463	355	410
464	355	409
465	356	407
466	356	406
467	356	405
468	357	404
469	357	403
470	358	402
471	358	401
472	359	400
473	359	399
474	360	398
475	360	397
476	361	395
477	361	394
478	362	393
479	362	392
480	363	391
481	363	390
482	363	389
483	364	388
484	364	387
485	365	386
486	365	385
487	366	384
488	366	383
489	367	382
490	367	381
491	368	380
492	368	379
493	369	378
494	369	377
495	370	376
496	370	374
497	370	373
498	371	372
499	371	371
500	372	370
501	372	369
502	373	368
503	373	367
504	374	366
505	374	365
506	375	364
507	375	363
508	376	362
509	376	361
510	377	360
511	377	359
512	378	358
513	378	357
514	379	356
515	379	355
516	380	355
517	380	354
518	381	353
519	381	352
520	381	351
521	382	350
522	382	349
523	383	348
524	383	347
525	384	346
526	384	345
527	385	344
528	385	343
529	386	342
530	386	341
531	387	340
532	387	339
533	388	338
534	388	337
535	389	336
536	389	335
537	389	334
538	390	333
539	390	332
540	391	331
541	391	331
542	392	330
543	392	329
544	393	328
545	393	327
546	394	326
547	394	325
548	394	324
549	395	323
550	395	322
551	396	321
552	396	320
553	397	319
554	397	318
555	398	318
556	398	317
557	399	316
558	399	315
559	400	314
560	400	313
561	401	312
562	401	311
563	402	310
564	402	309
565	403	309
566	403	308
567	403	307
568	404	306
569	404	305
570	405	304
571	405	303
572	406	302
573	406	301
574	407	300
575	407	300
576	408	299
577	408	298
578	409	297
579	409	296
580	410	295
581	410	294
582	411	293
583	411	293
584	411	292
585	412	291
586	412	290
587	413	289
588	413	288
589	414	287
590	414	287
591	415	286
592	415	285
593	416	284
594	416	283
595	417	282
596	417	281
597	418	281
598	418	280
599	418	279
600	419	278
601	419	277
602	420	276
603	420	275
604	421	275
605	421	274
606	422	273
607	422	272
608	423	271
609	423	270
610	424	270
611	424	269
612	425	268
613	425	267
614	425	266
615	426	265
616	426	265
617	427	264
618	427	263
619	428	262
620	428	261
621	429	260
622	429	260
623	430	259
624	430	258
625	431	257
626	431	256
627	431	255
628	432	255
629	432	254
630	433	253
631	433	252
632	434	251
633	434	250
634	435	250
635	435	249
636	436	248
637	436	247
638	437	246
639	437	246
640	438	245
641	438	244
642	439	243
643	439	242
644	440	242
645	440	241
646	441	240
647	441	239
648	441	239
649	442	238
650	442	237
651	443	236
652	443	235
653	444	235
654	444	234
655	445	233
656	445	232
657	446	231
658	446	231
659	447	230
660	447	229
661	448	228
662	448	228
663	449	227
664	449	226
665	449	225
666	450	224
667	450	224
668	451	223
669	451	222
670	452	221
671	452	221
672	453	220
673	453	219
674	454	218
675	454	217
676	455	217
677	455	216
678	456	215
679	456	214
680	457	214
681	457	213
682	458	212
683	458	211
684	459	211
685	459	210
686	460	209
687	460	208
688	460	208
689	461	207
690	461	206
691	462	205
692	462	205
693	463	204
694	463	203
695	464	202
696	464	202
697	465	201
698	465	200
699	466	199
700	466	199
